id,name,alt_name,region,country,latitude,longitude,km_distance_to_ocean
AK1,Afognak,Agw’aneq,Alaska,US,58.0078,-152.768,0.2
AK2,Akhiok,Kasukuak,Alaska,US,56.9455,-154.17,0.1
AK3,Akiachak,Akiacuar,Alaska,US,60.9094,-161.431,89.7
AK4,Akiak,Akiaq,Alaska,US,60.9122,-161.214,97.4
AK5,Akutan,Achan-ingiiga,Alaska,US,54.1385,-165.778,0.6
AK6,Alakanuk,Alarneq,Alaska,US,62.6889,-164.615,8.7
AK7,Alatna,Alaasuq,Alaska,US,66.5542,-152.7019,334.8
AK8,Aleknagik,Alaqnaqiq,Alaska,US,59.273,-158.618,15.4
AK9,Aleut Village,,Alaska,US,58.0171,-152.761,0.0
AK10,Alexander Creek,,Alaska,US,61.4171,-150.593,6.4
AK11,Allakaket,Aalaa Kkaakk’et,Alaska,US,66.5656,-152.646,337.2
AK12,Ambler,Ivisaappaat,Alaska,US,67.0861,-157.851,116.5
AK13,Anaktuvuk Pass,Anaqtuuvak / Naqsraq,Alaska,US,68.1433,-151.736,244.1
AK14,Anchor Point,,Alaska,US,59.7766,-151.831,2.0
AK15,Anchorage,Dgheyaytnu,Alaska,US,61.1817,-149.993,2.1
AK16,Anderson,,Alaska,US,64.3441,-149.187,315.5
AK18,Angoon,Aangóon,Alaska,US,57.5033,-134.584,0.0
AK19,Aniak,Anyaraq,Alaska,US,61.5783,-159.522,213.7
AK20,Annette,,Alaska,US,55.063,-131.541,0.1
AK21,Anvik,Gitr’ingith Chagg,Alaska,US,62.6561,-160.207,105.8
AK22,Arctic Village,Vashrąįį K'ǫǫ,Alaska,US,68.1269,-145.538,203.3
AK23,Atka,Atx̂ax̂,Alaska,US,52.191,-174.189,0.1
AK24,Atmautluak,Atmaulluaq,Alaska,US,60.8641,-162.2723,64.0
AK25,Atqasuk,,Alaska,US,70.4694,-157.396,46.0
AK26,Attu,,Alaska,US,52.9365,173.24,0.4
AK27,Auke Bay,,Alaska,US,58.383,-134.657,0.0
AK28,Ayakulik,,Alaska,US,57.2113,-154.546,0.3
AK29,Baranof Warm Springs,,Alaska,US,57.0895,-134.8337,0.2
AK30,Bartlett Cove,,Alaska,US,58.45,-135.916,0.9
